playerID,teamID,HR,BB,HBP,SO,IP,ERA
luetglu01,SEA,2,16,2,27,37.0000,4.86
lylesjo01,HOU,17,49,11,93,141.6667,5.59
lynnla01,SLN,14,76,11,198,201.6667,3.97
lyonbr01,NYN,3,13,0,23,34.3333,4.98
lyonsty01,SLN,5,16,3,43,53.0000,4.75
machije01,SFN,2,12,0,51,53.0000,2.38
magilma01,LAN,6,28,1,26,27.6667,6.51
maholpa01,ATL,17,47,10,105,153.0000,4.41
mainejo01,MIA,2,5,0,7,7.3333,12.27
manesse01,SLN,4,13,1,35,62.0000,2.32
manshje01,COL,6,12,0,18,30.6667,7.04
marcush01,NYN,7,21,4,60,78.3333,5.29
marmoca01,CHN,6,21,3,32,27.6667,5.86
marmoca01,LAN,1,19,1,27,21.3333,2.53
maronni01,LAA,1,8,0,5,5.3333,6.75
marquja01,SDN,18,68,4,72,117.6667,4.05
marshbr01,NYA,3,7,1,7,12.0000,4.5
marshse01,CIN,0,2,1,10,10.3333,1.74
martevi01,SLN,0,3,1,2,3.0000,6
martica04,SLN,1,9,3,24,28.3333,5.08
marticr01,ATL,0,0,0,0,2.3333,7.71
martida02,HOU,1,3,0,6,11.3333,7.15
martiet01,PHI,9,26,1,47,40.0000,6.08
martijo07,CLE,0,0,0,3,5.0000,1.8
martish01,MIN,3,4,0,7,9.6667,5.59
masteju01,CLE,13,76,17,195,193.0000,3.45
matsuda01,NYN,4,16,5,33,38.6667,4.42
matthry01,WAS,1,15,0,22,35.3333,6.37
matusbr01,BAL,3,16,2,50,51.0000,3.53
maurebr01,SEA,16,27,6,70,90.0000,6.3
mayayu01,WAS,1,0,0,0,0.3333,54
mazzavi01,PIT,3,21,3,46,73.6667,2.81
mcallza01,CLE,13,49,6,101,134.3333,3.75
mccarbr01,ARI,13,21,5,76,135.0000,4.53
mccleky01,TEX,2,5,1,3,9.3333,7.71
mcdonja03,PIT,1,20,3,25,29.6667,5.76
mcdonjo03,PHI,0,0,0,1,0.3333,0
mcfartj01,BAL,7,28,0,58,74.6667,4.22
mcgeeja01,TBA,8,22,1,75,62.6667,4.02
mcgowdu01,TOR,2,12,2,26,25.6667,2.45
mchugco01,NYN,2,3,0,3,7.0000,10.29
mchugco01,COL,4,2,0,8,19.0000,9.95
medinyo01,SEA,5,40,4,71,68.0000,2.91
medlekr01,ATL,18,47,8,157,197.0000,3.11
mejiaje01,NYN,2,4,0,27,27.3333,2.3
melanma01,PIT,1,8,1,70,71.0000,1.39
mendolu01,KCA,10,43,3,54,94.0000,5.36
mijarjo01,SFN,3,20,3,54,49.0000,4.22
mikolmi01,SDN,0,1,1,1,1.6667,0
mileywa01,ARI,21,66,4,147,202.6667,3.55
millean01,BOS,3,17,2,48,30.6667,2.64
milleji02,NYA,1,1,0,0,1.3333,20.25
millesh01,SLN,20,57,5,169,173.3333,3.06
